,,,2000,,2001,,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.,
,,Braga,278611,"13,4",298558,"12,3",
REGIÃO,,Bragança,64171,"13,0",66912,"13,5",
NORTE,,Porto,560483,"11,9",596726,"12,8",
,,V. Castelo,94249,"13,8",98770,"16,6",
,,Vila Real,52356,"18,3",55397,"19,1",
,,,1049870,,1116363,,
,,Aveiro,255595,"13,4",326648,"15,0",
REGIÃO,,C. Branco,90523,"16,3",96793,"17,3",
CENTRO,,Coimbra,168198,"15,4",185026,"15,8",
,,Guarda,80742,"16,2",88380,"19,1",
,,Leiria,267360,"14,5",281208,"15,1",
,,Viseu,127656,"15,3",137247,"18,3",
,,,990074,,1115302,,
REGIÃO DE,,Lisboa,669435,"16,1",740020,"17,3",
LISBOA,,Santarém,184908,"16,8",205695,"16,6",
E VALE TEJO,,Setúbal,245511,"17,6",267008,"19,4",
,,,1099854,,1212723,,
REGIÃO DO,,Beja,39947,"15,5",47395,"17,7",
ALENTEJO,,Évora,76240,"14,9",81080,"16,6",
,,Portalegre,43157,"16,2",46102,"18,8",
,,,159344,,174577,,
R. ALGARVE,,Faro,165269,"15,8",180893,"15,9",
