,,,1997,1998,1999,2000,2001
,,Norte,7417,9976,13054,20811,23397
,,Centro,8967,9996,12612,17237,18257
,A,Lisboa e Vale do Tejo,8876,14522,18456,16938,18460
,,Alentejo,1090,1568,2244,2452,3070
,,Algarve,966,1302,1991,2703,2575
,,Total,27316,37364,48357,60141,65759
,,Norte,64154,65446,55849,63532,59324
,,Centro,46857,43889,40191,39228,38283
,B,Lisboa e Vale do Tejo,62640,56752,48650,48226,47108
,,Alentejo,9256,8522,7513,6760,7055
,,Algarve,6053,5187,4744,6214,5674
,,Total,188960,179796,156947,163960,157444
,,Norte,3051,2799,2773,3388,3097
,,Centro,3662,3382,2963,3368,3391
,C,Lisboa e Vale do Tejo,3077,2698,2140,2269,2460
,,Alentejo,723,639,530,658,520
,,Algarve,379,303,243,334,307
,,Total,10892,9821,8649,10017,9775
,,Norte,626,685,804,709,793
,,Centro,481,611,615,570,571
,D,Lisboa e Vale do Tejo,661,784,678,763,769
,,Alentejo,117,106,133,134,138
,,Algarve,69,77,97,112,95
,,Total,1954,2263,2327,2288,2366
,,Norte,1472,3566,3309,4603,4902
,,Centro,2294,5260,4668,5414,5973
,E,Lisboa e Vale do Tejo,1800,3969,3500,3709,4153
,,Alentejo,386,823,751,960,842
,,Algarve,176,398,304,412,470
,,Total,6128,14016,12532,15098,16340
TOTAL GERAL,,,235250,243260,228812,251504,251684
