Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,50.700,50.850,5,15,1,2,7,141
EN125,68.400,68.600,6,11,0,0,7,21
EN125,89.000,89.100,5,11,0,0,8,24
EN125,94.200,94.400,5,10,1,2,3,129
EN125,99.200,99.400,7,9,0,1,15,55
EN125,102.000,102.200,8,16,0,1,15,55
EN125,103.000,103.002,10,16,0,0,11,33
EN125,107.600,107.700,5,11,0,1,5,25
EN125,108.300,108.500,7,8,0,3,6,48
EN125,110.450,110.600,5,9,0,1,5,25
EN125,111.500,111.700,8,19,0,3,10,60
EN125,112.800,113.000,7,12,0,2,8,44
EN125,113.300,113.500,7,12,0,2,5,35
EN125,130.100,130.300,6,13,2,2,10,250
EN125,138.800,139.000,5,8,0,0,12,36
EN125-10,1.000,1.200,12,25,0,0,16,48
EN125-4,4.000,4.200,5,7,1,1,5,125
EN2,735.100,735.300,7,13,0,2,8,44
EN396,24.300,24.500,5,12,0,1,11,43
IP1,269.000,269.200,6,9,1,0,9,127
IP1,299.900,300.100,5,8,0,0,8,24
,,,,,,,,
,,Total,136,254,6,24,184,
