,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
Jan,30,33,88,89,1952,1951,2070,2073
Fev,29,27,85,63,1872,1667,1986,1757
Mar,34,18,75,103,1878,1968,1987,2089
Abr,25,26,82,124,1777,1947,1884,2097
Mai,23,49,95,118,2004,2183,2122,2350
Jun,33,40,105,117,1963,2342,2101,2499
Jul,29,43,142,152,2356,2597,2527,2792
Ago,35,42,147,130,2381,2534,2563,2706
Set,31,31,119,121,2098,2267,2248,2419
Out,37,30,108,113,2190,2489,2335,2632
Nov,19,24,74,98,2062,2223,2155,2345
Dez,23,35,101,105,1940,2314,2064,2454
TOTAL,348,398,1221,1333,24473,26482,26042,28213
