,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,
REGIÃO NORTE,Braga,2807,3062,34,41,155,134,3483,3820,3672,3995
,Bragança,350,366,10,12,53,39,398,443,461,494
,Porto,5665,5983,59,72,157,168,7026,7333,7242,7573
,Viana do Castelo,752,781,13,16,37,47,989,1013,1039,1076
,Vila Real,548,567,8,16,51,45,675,679,734,740
,Total,10122,10759,124,157,453,433,12571,13288,13148,13878
REGIÃO CENTRO,Aveiro,2528,2621,57,55,102,116,3061,3168,3220,3339
,Castelo Branco,512,553,23,19,78,77,601,675,702,771
,Coimbra,1489,1626,29,34,82,99,1810,1957,1921,2090
,Guarda,413,448,15,18,54,58,471,527,540,603
,Leiria,1753,1871,46,36,160,160,2016,2207,2222,2403
,Viseu,1260,1317,24,19,107,84,1551,1669,1682,1772
,Total,7955,8436,194,181,583,594,9510,10203,10287,10978
"REGIÃO DE
LISBOA E VALE
TEJO",Lisboa,7507,7999,69,61,307,308,8962,9550,9338,9919
,Santarém,1449,1517,29,50,132,181,1754,1894,1915,2125
,Setúbal,2219,2503,47,65,143,181,2779,3058,2969,3304
,Total,11175,12019,145,176,582,670,13495,14502,14222,15348
"REGIÃO DO
ALENTEJO",Beja,437,456,29,21,90,96,497,561,616,678
,Évora,441,411,15,18,66,61,516,477,597,556
,Portalegre,310,305,18,13,68,75,346,339,432,427
,Total,1188,1172,62,52,224,232,1359,1377,1645,1661
"REGIÃO DO
ALGARVE",Faro,1859,2030,38,36,157,188,2171,2406,2366,2630
,Total,1859,2030,38,36,157,188,2171,2406,2366,2630
TOTAL,,32299,34416,563,602,1999,2117,39106,41776,41668,44495
