,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
Jan,7,6,20,25,735,780,762,811
Fev,6,2,29,22,720,620,755,644
Mar,6,5,31,36,705,702,742,743
Abr,2,5,14,35,689,656,705,696
Mai,6,8,40,30,818,778,864,816
Jun,4,5,24,28,713,865,741,898
Jul,9,7,38,45,957,1013,1004,1065
Ago,13,7,48,57,1072,1313,1133,1377
Set,9,8,31,28,761,806,801,842
Out,11,8,45,24,830,878,886,910
Nov,10,7,29,17,791,782,830,806
Dez,9,6,27,44,830,973,866,1023
TOTAL,92,74,376,391,9621,10166,10089,10631
