,,,,,,,,,
,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
"Dentro das
localidades",00-03,3,1,7,7,69,75,79,83
,03-06,1,7,2,5,28,41,31,53
,06-09,12,14,40,44,537,543,589,601
,09-12,21,20,58,57,986,1016,1065,1093
,12-15,13,10,49,47,767,795,829,852
,15-18,18,16,77,65,1018,1036,1113,1117
,18-21,15,25,96,91,1222,1233,1333,1349
,21-24,14,8,33,40,299,296,346,344
,TOTAL,97,101,362,356,4926,5035,5385,5492
"Fora das
localidades",00-03,2,2,3,4,3,4,8,10
,03-06,2,5,1,2,3,1,6,8
,06-09,7,3,5,7,12,11,24,21
,09-12,4,2,3,4,16,9,23,15
,12-15,3,2,7,2,7,12,17,16
,15-18,1,1,4,8,12,19,17,28
,18-21,5,5,10,7,23,27,38,39
,21-24,2,9,7,3,10,10,19,22
,TOTAL,26,29,40,37,86,93,152,159
