,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
Abertura de porta,0,0,0,1,14,6,14,7
Ausência de luzes quando obrigatórias,0,1,1,1,5,7,6,9
Circulação afastada da berma ou passeio,0,0,3,3,43,48,46,51
Desrespeito da sinalização semafórica,1,0,8,1,77,84,86,85
Desrespeito da sinalização vertical,7,6,18,19,532,505,557,530
Desrespeito das distâncias de segurança,1,3,8,8,438,447,447,458
Desrespeito das marcas rodoviárias,2,3,7,9,65,67,74,79
Encandeamento,0,0,5,12,134,174,139,186
Falha mecânica do veículo,0,0,4,2,64,66,68,68
Manobra irregular,9,13,29,44,561,584,599,641
Não identificada,291,345,1037,1135,20237,22264,21565,23744
Não sinalização da manobra,0,0,1,2,46,34,47,36
Obstáculo imprevisto na faixa de rodagem,0,0,11,8,312,322,323,330
Queda de carga ou objecto,0,0,1,0,3,3,4,3
Rebentamento de pneumático,1,1,5,2,56,51,62,54
Velocidade excessiva para as condições existentes,30,24,71,83,1625,1624,1726,1731
N.D.,6,2,12,3,261,196,279,201
TOTAL,348,398,1221,1333,24473,26482,26042,28213
