,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
"Dentro das
localidades",2ª feira,10,12,63,58,816,784,889,854
,3ª feira,14,16,63,58,812,826,889,900
,4ª feira,12,11,45,63,755,789,812,863
,5ª feira,13,17,58,50,753,833,824,900
,6ª feira,19,23,60,47,825,853,904,923
,Sábado,19,12,45,44,546,556,610,612
,Domingo,10,10,28,36,419,394,457,440
,TOTAL,97,101,362,356,4926,5035,5385,5492
"Fora das
localidades",2ª feira,3,2,11,6,11,14,25,22
,3ª feira,1,4,4,9,14,9,19,22
,4ª feira,8,4,5,6,11,14,24,24
,5ª feira,1,6,3,5,18,17,22,28
,6ª feira,4,3,4,4,15,13,23,20
,Sábado,6,5,10,4,10,12,26,21
,Domingo,3,5,3,3,7,14,13,22
,TOTAL,26,29,40,37,86,93,152,159
