,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
TOTAL,Jan,8,9,33,32,493,442,534,483
,Fev,14,9,34,22,453,365,501,396
,Mar,7,8,37,24,388,372,432,404
,Abr,8,6,25,33,321,366,354,405
,Mai,5,7,29,28,335,427,369,462
,Jun,6,11,30,37,393,397,429,445
,Jul,17,10,27,25,410,385,454,420
,Ago,7,11,41,29,339,390,387,430
,Set,8,17,39,37,410,445,457,499
,Out,13,10,29,40,441,532,483,582
,Nov,17,14,41,45,545,511,603,570
,Dez,13,18,37,41,484,496,534,555
,TOTAL,123,130,402,393,5012,5128,5537,5651
