,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,,,
Dentro das localidades,Arruamento,20007,20802,202,190,917,924,23293,24074,24412,25188,"1,0","0,9"
,Estrada Municipal,734,1162,16,18,62,88,869,1401,947,1507,"2,2","1,5"
,Estrada Nacional,3685,3981,77,97,232,230,4761,5148,5070,5475,"2,1","2,4"
,IP/IC,260,289,4,5,11,10,329,369,344,384,"1,5","1,7"
,Outra Via *,399,576,3,18,20,38,464,674,487,730,"0,8","3,1"
,TOTAL,25085,26810,302,328,1242,1290,29716,31666,31260,33284,"1,2","1,2"
Fora das localidades,Autoestrada,1947,1921,38,51,123,124,2686,2814,2847,2989,"2,0","2,7"
,Estrada Municipal,1028,1076,28,27,121,133,1222,1299,1371,1459,"2,7","2,5"
,Estrada Nacional,2879,3106,121,121,364,415,3797,4019,4282,4555,"4,2","3,9"
,IP/IC,839,902,45,41,102,96,1103,1271,1250,1408,"5,4","4,5"
,Outra Via *,521,601,29,34,47,59,582,707,658,800,"5,6","5,7"
,TOTAL,7214,7606,261,274,757,827,9390,10110,10408,11211,"3,6","3,6"
,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,,,
TOTAL,Arruamento,20007,20802,202,190,917,924,23293,24074,24412,25188,"1,0","0,9"
,Autoestrada,1947,1921,38,51,123,124,2686,2814,2847,2989,"2,0","2,7"
,Estrada Municipal,1762,2238,44,45,183,221,2091,2700,2318,2966,"2,5","2,0"
,Estrada Nacional,6564,7087,198,218,596,645,8558,9167,9352,10030,"3,0","3,1"
,IP/IC,1099,1191,49,46,113,106,1432,1640,1594,1792,"4,5","3,9"
,Outra Via *,920,1177,32,52,67,97,1046,1381,1145,1530,"3,5","4,4"
,TOTAL,32299,34416,563,602,1999,2117,39106,41776,41668,44495,"1,7","1,7"
