,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
"Dentro das
localidades",Jan,6,7,31,30,489,437,526,474
,Fev,12,6,28,19,448,359,488,384
,Mar,5,6,34,21,381,367,420,394
,Abr,7,4,22,29,317,359,346,392
,Mai,4,7,21,26,327,421,352,454
,Jun,5,9,29,32,386,385,420,426
,Jul,12,10,24,23,403,379,439,412
,Ago,6,9,36,27,330,384,372,420
,Set,4,15,37,36,402,439,443,490
,Out,10,6,27,37,433,526,470,569
,Nov,15,13,40,41,535,496,590,550
,Dez,11,9,33,35,475,483,519,527
,TOTAL,97,101,362,356,4926,5035,5385,5492
"Fora das
localidades",Jan,2,2,2,2,4,5,8,9
,Fev,2,3,6,3,5,6,13,12
,Mar,2,2,3,3,7,5,12,10
,Abr,1,2,3,4,4,7,8,13
,Mai,1,0,8,2,8,6,17,8
,Jun,1,2,1,5,7,12,9,19
,Jul,5,0,3,2,7,6,15,8
,Ago,1,2,5,2,9,6,15,10
,Set,4,2,2,1,8,6,14,9
,Out,3,4,2,3,8,6,13,13
,Nov,2,1,1,4,10,15,13,20
,Dez,2,9,4,6,9,13,15,28
,TOTAL,26,29,40,37,86,93,152,159
