,,"Acidentes
c/ vítimas",,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",,"Índice de
gravidade",
,,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,,,,,
Atropelamento,Atropelamento de peões,4671,4753,109,115,376,360,4602,4638,5087,5113,"2,3","2,4"
,Atropelamento de animais,75,108,2,0,8,6,84,112,94,118,"2,7","0,0"
,Atropelamento com fuga,419,447,10,9,26,25,407,434,443,468,"2,4","2,0"
,Total,5165,5308,121,124,410,391,5093,5184,5624,5699,"2,3","2,3"
Colisão,Colisão com fuga,476,519,4,7,22,15,536,580,562,602,"0,8","1,3"
,Colisão com outras situações,2303,2516,16,22,81,87,2902,3189,2999,3298,"0,7","0,9"
,Colisão frontal,3118,3568,93,112,380,413,4754,5351,5227,5876,"3,0","3,1"
,"Colisão traseira com outro veículo
em movimento",3635,4015,23,46,90,110,4785,5454,4898,5610,"0,6","1,1"
,"Colisão lateral com outro veículo
em movimento",5710,5959,63,61,237,283,7202,7494,7502,7838,"1,1","1,0"
,"Colisão com veículo ou obstáculo
na faixa de rodagem",907,904,10,6,32,45,1141,1138,1183,1189,"1,1","0,7"
,Colisão choque em cadeia,638,658,1,0,6,4,977,1046,984,1050,"0,2","0,0"
,Total,16787,18139,210,254,848,957,22297,24252,23355,25463,"1,3","1,4"
Despiste,"Despiste com dispositivo de
retenção",531,479,4,9,20,17,596,534,620,560,"0,8","1,9"
,"Despiste sem dispositivo de
retenção",1251,1452,9,8,48,42,1341,1562,1398,1612,"0,7","0,6"
,Despiste com fuga,89,89,1,1,6,5,94,99,101,105,"1,1","1,1"
,Despiste simples,5952,6615,111,126,397,494,6666,7379,7174,7999,"1,9","1,9"
,"Despiste com transposição do
dispositivo de retenção lateral",207,161,11,12,23,13,236,188,270,213,"5,3","7,5"
,Despiste com capotamento,1551,1345,67,55,167,143,1943,1642,2177,1840,"4,3","4,1"
,"Despiste com colisão com veículo
imobilizado ou obstáculo",766,828,29,13,80,55,840,936,949,1004,"3,8","1,6"
,Total,10347,10969,232,224,741,769,11716,12340,12689,13333,"2,2","2,0"
TOTAL,,32299,34416,563,602,1999,2117,39106,41776,41668,44495,"1,7","1,7"
