,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
"Dentro das
localidades",Arruamento,80,66,314,303,4534,4566,4928,4935
,Estrada Municipal,13,27,37,33,261,281,311,341
,Estrada Nacional,2,2,1,1,2,6,5,9
,IP/IC,2,3,7,13,43,95,52,111
,Outra Via *,0,3,3,6,86,87,89,96
,TOTAL,97,101,362,356,4926,5035,5385,5492
"Fora das
localidades",Autoestrada,5,2,11,6,10,8,26,16
,Estrada Municipal,13,11,14,17,51,52,78,80
,Estrada Nacional,6,10,6,8,5,7,17,25
,IP/IC,0,3,6,6,12,18,18,27
,Outra Via *,2,3,3,0,8,8,13,11
,TOTAL,26,29,40,37,86,93,152,159
