,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
TOTAL,A sair ou entrar num veículo,16,14,39,45,406,486,461,545
,Atravessando em passagem sinalizada,22,16,137,108,2114,2183,2273,2307
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",1,2,10,12,121,97,132,111
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",12,16,34,41,356,350,402,407
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",15,12,47,58,531,522,593,592
,Em ilhéu ou refúgio na via,2,1,1,6,39,52,42,59
,Em plena faixa de rodagem,26,36,62,47,536,579,624,662
,Em trabalhos na via,1,1,3,8,42,33,46,42
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",3,4,25,25,271,225,299,254
,Transitando pela berma ou passeio,17,13,27,28,369,395,413,436
,Transitando pela direita da faixa de rodagem,7,9,8,8,122,125,137,142
,Transitando pela esquerda da faixa de rodagem,1,4,4,5,78,50,83,59
,N.D.,0,2,5,2,27,31,32,35
,TOTAL,123,130,402,393,5012,5128,5537,5651
