,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,,
"Dentro das
localidades",A sair ou entrar num veículo,13,9,31,40,377,463,421,512
,Atravessando em passagem sinalizada,22,16,137,108,2111,2174,2270,2298
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",1,2,9,12,121,97,131,111
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",6,13,30,36,349,342,385,391
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",13,12,45,58,530,518,588,588
,Em ilhéu ou refúgio na via,2,1,1,5,39,49,42,55
,Em plena faixa de rodagem,16,20,46,40,522,566,584,626
,Em trabalhos na via,0,0,1,3,34,30,35,33
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",3,4,24,20,269,220,296,244
,Transitando pela berma ou passeio,14,10,24,25,354,376,392,411
,Transitando pela direita da faixa de rodagem,6,8,6,4,117,121,129,133
,Transitando pela esquerda da faixa de rodagem,1,4,3,3,76,48,80,55
,N.D.,0,2,5,2,27,31,32,35
,TOTAL,97,101,362,356,4926,5035,5385,5492
"Fora das
localidades",A sair ou entrar num veículo,3,5,8,5,29,23,40,33
,Atravessando em passagem sinalizada,0,0,0,0,3,9,3,9
,"Atravessando em passagem sinalizada com desrespeito
da sinalização semafórica",0,0,1,0,0,0,1,0
,"Atravessando fora da passagem de peões a mais de
50m de uma passagem ou quando não exista passagem",6,3,4,5,7,8,17,16
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",2,0,2,0,1,4,5,4
,Em ilhéu ou refúgio na via,0,0,0,1,0,3,0,4
,Em plena faixa de rodagem,10,16,16,7,14,13,40,36
,Em trabalhos na via,1,1,2,5,8,3,11,9
,"Surgindo inesperadamente na faixa de rodagem de trás
de um obstáculo",0,0,1,5,2,5,3,10
,Transitando pela berma ou passeio,3,3,3,3,15,19,21,25
,Transitando pela direita da faixa de rodagem,1,1,2,4,5,4,8,9
,Transitando pela esquerda da faixa de rodagem,0,0,1,2,2,2,3,4
,TOTAL,26,29,40,37,86,93,152,159
