,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,2016,2017,2016,2017,2016,2017,2016,2017
,,,,,,,,
Atravessando a via,4,6,7,10,192,166,203,182
Circulação em sentido oposto ao estabelecido,5,5,13,10,102,95,120,110
Desvio brusco/ saída de fila de trânsito,10,14,38,33,346,373,394,420
Em marcha normal,281,331,1023,1141,20128,22102,21432,23574
Início de marcha,3,4,29,22,526,494,558,520
Inversão do sentido de marcha,3,2,1,3,77,69,81,74
Marcha atrás,0,2,0,1,58,60,58,63
Mudança de direção para a direita,5,0,7,6,226,249,238,255
Mudança de direção para a esquerda,9,9,39,43,1040,1046,1088,1098
Mudança de via de trânsito para a direita,1,1,4,1,53,57,58,59
Mudança de via de trânsito para a esquerda,2,3,6,8,122,133,130,144
Parado ou estacionado,8,2,8,15,684,702,700,719
Saída de parqueamento ou de rua particular,3,4,3,2,110,110,116,116
Trânsito em filas paralelas,0,0,3,0,16,27,19,27
Travagem brusca,0,1,6,4,144,147,150,152
Ultrapassagem pela direita,0,0,1,2,45,35,46,37
Ultrapassagem pela esquerda,9,13,25,30,468,499,502,542
N.D.,5,1,8,2,136,118,149,121
TOTAL,348,398,1221,1333,24473,26482,26042,28213
