,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 3. Evolução da Sinistralidade no Continente,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,AcV,AcVM+AcFG,AcVM,Vítimas totais,VM,FG,FL,IGR,,,,,,,,,,,,,,,,,,
2014,30604,2317,454,39653,482,2152,37019,1.5749575218925629,,,,,,,,,,,,,,,,,,
2019,35704,2403,429,45977,474,2301,43202,1.3275823437149898,,,,,,,,,,,,,,,,,,
2020,26501,1975,372,32925,390,1829,30706,1.471642579525301,,,,,,,,,,,,,,,,,,
2021,29217,2221,367,36713,390,2106,34217,1.334839305883561,,,,,,,,,,,,,,,,,,
2022,32788,2352,428,41161,462,2243,38456,1.409052092228864,,,,,,,,,,,,,,,,,,
2023,34974,2569,431,43962,467,2437,41058,1.3352776348144337,,,,,,,,,,,,,,,,,,
2024,36338,2674,437,45722,463,2576,42683,1.2741482745335462,,,,,,,,,,,,,,,,,,
∆(%) 24/14,0.18736112926414838,0.15407854984894254,-0.037444933920704804,0.15305273245403872,-0.03941908713692943,0.1970260223048328,0.15300251222345285,-0.1909951495057126,,,,,,,,,,,,,,,,,,
∆(%) 24/19,0.017757114048846168,0.11277569704535995,0.018648018648018683,-0.005546251386562839,-0.02320675105485237,0.11951325510647548,-0.012013332716077962,-0.040249156245870554,,,,,,,,,,,,,,,,,,
∆(%) 24/23,0.039000400297363846,0.04087193460490468,0.0139211136890951,0.04003457531504484,-0.008565310492505307,0.057037340993024266,0.039578157728092034,-0.04578026223691134,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
