,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan,2304,2445,49,60,126,167,2752,2925,2927,3152,"2,1","2,5"
Fev,2169,2103,42,37,147,124,2517,2540,2706,2701,"1,9","1,8"
Mar,2351,2475,52,48,131,167,2817,2923,3000,3138,"2,2","1,9"
Abr,2237,2399,37,42,150,159,2718,2840,2905,3041,"1,7","1,8"
Mai,2510,2746,53,59,182,196,2971,3240,3206,3495,"2,1","2,1"
Jun,2476,2706,46,51,138,201,3011,3340,3195,3592,"1,9","1,9"
Jul,2748,2927,60,47,204,201,3359,3621,3623,3869,"2,2","1,6"
Ago,2808,2861,61,47,223,224,3594,3614,3878,3885,"2,2","1,6"
Set,2761,2857,59,53,164,199,3405,3493,3628,3745,"2,1","1,9"
Out,2778,3016,54,41,188,165,3327,3737,3569,3943,"1,9","1,4"
Nov,2893,2676,56,61,173,171,3476,3188,3705,3420,"1,9","2,3"
Dez,2569,2742,69,47,184,174,3058,3347,3311,3568,"2,7","1,7"
TOTAL,30604,31953,638,593,2010,2148,37005,38808,39653,41549,"2,1","1,9"
