,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Jan,16,17,37,40,451,443,504,500
,Fev,10,9,45,29,402,363,457,401
,Mar,15,12,32,30,376,412,423,454
,,,,,,,,,
,Abr,7,8,17,33,333,326,357,367
,,,,,,,,,
,Mai,10,16,33,36,382,421,425,473
,,,,,,,,,
,Jun,9,10,24,34,329,361,362,405
,,,,,,,,,
TOTAL,Jul,12,6,25,36,359,401,396,443
,Ago,10,6,29,31,342,332,381,369
,Set,8,16,30,38,410,415,448,469
,Out,11,11,46,31,423,441,480,483
,Nov,18,15,45,51,531,440,594,506
,Dez,19,20,51,39,457,470,527,529
,TOTAL,145,146,414,428,4795,4825,5354,5399
