,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
00-03,1142,1115,32,35,116,113,1443,1341,1591,1489,"2,8","3,1"
03-06,687,738,31,36,67,81,836,898,934,1015,"4,5","4,9"
06-09,3455,3656,94,78,222,245,4255,4398,4571,4721,"2,7","2,1"
09-12,5337,5468,88,93,270,278,6281,6526,6639,6897,"1,6","1,7"
12-15,5365,5586,94,76,267,343,6574,6772,6935,7191,"1,8","1,4"
15-18,6117,6579,114,95,432,453,7543,8150,8089,8698,"1,9","1,4"
18-21,6043,6284,132,119,434,418,7115,7614,7681,8151,"2,2","1,9"
21-24,2458,2527,53,61,202,217,2958,3109,3213,3387,"2,2","2,4"
TOTAL,30604,31953,638,593,2010,2148,37005,38808,39653,41549,"2,1","1,9"
