,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=5,60,44,93,96,0,0,153,140
6-9,75,52,110,89,0,0,185,141
10-14,161,175,181,167,0,0,342,342
15-19,246,238,163,161,0,0,409,399
20-24,173,154,108,124,0,0,281,278
25-29,114,94,78,85,0,0,192,179
30-34,99,122,92,72,0,0,191,194
35-39,140,111,109,93,0,0,249,204
40-44,133,138,119,88,0,0,252,226
45-49,140,170,112,103,0,0,252,273
50-54,179,185,119,119,0,1,298,305
55-59,177,215,121,136,0,0,298,351
60-64,180,211,116,141,0,0,296,352
65-69,181,182,128,143,0,0,309,325
70-74,187,209,131,119,0,0,318,328
>=75,424,430,342,354,0,1,766,785
N.D.,0,1,4,2,0,0,4,3
TOTAL,2669,2731,2126,2092,0,2,4795,4825
