,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=5,65,49,97,102,0,0,162,151
6-9,80,59,118,100,0,0,198,159
10-14,170,182,191,180,0,0,361,362
15-19,261,250,177,176,0,0,438,426
20-24,187,160,119,126,0,0,306,286
25-29,118,96,85,89,0,0,203,185
30-34,104,130,106,85,0,0,210,215
35-39,146,123,121,110,0,0,267,233
40-44,147,150,132,99,0,0,279,249
45-49,150,183,124,127,0,0,274,310
50-54,194,208,140,142,0,1,334,351
55-59,201,231,140,157,0,0,341,388
60-64,195,234,138,170,0,0,333,404
65-69,210,201,153,169,0,0,363,370
70-74,202,226,153,141,0,0,355,367
>=75,505,498,421,438,0,2,926,938
N.D.,0,1,4,4,0,0,4,5
TOTAL,2935,2981,2419,2415,0,3,5354,5399
