,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,14,9,149,133,0,0,163,142
15-19,265,314,902,992,1,2,1168,1308
20-24,982,1036,1556,1681,4,3,2542,2720
25-29,956,949,1396,1510,0,0,2352,2459
30-34,983,977,1445,1533,2,1,2430,2511
35-39,1009,1024,1622,1599,1,3,2632,2626
40-44,970,993,1366,1466,3,1,2339,2460
45-49,773,836,1234,1321,5,1,2012,2158
50-54,637,706,1100,1197,3,0,1740,1903
55-59,464,524,962,999,2,2,1428,1525
60-64,324,382,780,879,2,0,1106,1261
65-69,214,232,653,763,0,1,867,996
70-74,144,139,604,680,2,0,750,819
>=75,96,138,1028,1129,4,1,1128,1268
N.D.,2,2,9,9,10,9,21,20
TOTAL,7833,8261,14806,15891,39,24,22678,24176
