,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,784,870,852,881,4,0,1640,1751
15-19,590,616,465,496,1,0,1056,1112
20-24,620,647,515,542,1,0,1136,1189
25-29,456,411,315,318,0,0,771,729
30-34,382,392,227,249,0,0,609,641
35-39,358,363,212,183,0,0,570,546
40-44,340,338,148,169,0,0,488,507
45-49,389,388,165,175,0,0,554,563
50-54,419,406,142,154,0,0,561,560
55-59,368,424,139,131,0,0,507,555
60-64,387,385,129,138,1,0,517,523
65-69,361,401,93,99,0,0,454,500
70-74,348,320,77,86,0,0,425,406
>=75,522,554,176,174,0,0,698,728
N.D.,7,6,6,3,2,0,15,9
TOTAL,6331,6521,3661,3798,9,0,10001,10319
