,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
Atravessando a via,4,10,12,11,180,165,196,186
Circulação em sentido oposto ao estabelecido,6,5,13,8,114,99,133,112
Desvio brusco/ saída de fila de trânsito,18,15,34,40,422,387,474,442
Em marcha normal,322,287,1009,1070,18619,19792,19950,21149
Início de marcha,6,5,19,29,359,395,384,429
Inversão do sentido de marcha,3,1,5,3,77,70,85,74
Marcha atrás,1,0,2,2,39,45,42,47
Mudança de direção para a direita,1,2,11,7,237,278,249,287
Mudança de direção para a esquerda,7,10,39,38,1008,1152,1054,1200
Mudança de via de trânsito para a direita,0,0,0,5,62,52,62,57
Mudança de via de trânsito para a esquerda,2,1,6,7,93,100,101,108
N.D.,8,7,11,9,196,173,215,189
Parado ou estacionado,7,7,15,10,574,651,596,668
Saída de parqueamento ou de rua particular,2,2,3,7,94,127,99,136
Trânsito em filas paralelas,0,0,0,0,15,33,15,33
Travagem brusca,1,1,5,2,140,118,146,121
Ultrapassagem pela direita,0,1,0,5,31,47,31,53
Ultrapassagem pela esquerda,9,9,39,39,418,492,466,540
TOTAL,397,363,1223,1292,22678,24176,24298,25831
