,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=5,5,4,4,5,0,0,9,9
6-9,5,7,8,10,0,0,13,17
10-14,9,7,9,12,0,0,18,19
15-19,14,12,14,12,0,0,28,24
20-24,12,5,9,1,0,0,21,6
25-29,2,2,6,3,0,0,8,5
30-34,5,8,7,10,0,0,12,18
35-39,4,10,9,13,0,0,13,23
40-44,12,9,11,9,0,0,23,18
45-49,10,11,7,19,0,0,17,30
50-54,13,19,12,18,0,0,25,37
55-59,20,14,13,15,0,0,33,29
60-64,14,20,15,17,0,0,29,37
65-69,25,12,19,20,0,0,44,32
70-74,11,13,14,11,0,0,25,24
>=75,50,49,46,51,0,0,96,100
TOTAL,211,202,203,226,0,0,414,428
