,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2ª feira,4473,4869,94,93,255,293,5307,5875,5656,6261,"2,1","1,9"
3ª feira,4381,4481,81,57,244,247,5228,5336,5553,5640,"1,8","1,3"
4ª feira,4473,4581,92,74,263,269,5311,5434,5666,5777,"2,1","1,6"
5ª feira,4441,4625,93,80,308,286,5181,5460,5582,5826,"2,1","1,7"
6ª feira,4733,4854,74,81,286,315,5644,5740,6004,6136,"1,6","1,7"
Sábado,4297,4407,99,103,329,404,5321,5529,5749,6036,"2,3","2,3"
Domingo,3806,4136,105,105,325,334,5013,5434,5443,5873,"2,8","2,5"
TOTAL,30604,31953,638,593,2010,2148,37005,38808,39653,41549,"2,1","1,9"
