,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
<=14,16,22,26,27,0,0,42,49
15-19,13,19,24,31,1,0,38,50
20-24,22,30,28,37,0,0,50,67
25-29,12,11,15,17,0,0,27,28
30-34,8,14,14,18,0,0,22,32
35-39,13,9,8,8,0,0,21,17
40-44,20,11,7,6,0,0,27,17
45-49,17,12,7,12,0,0,24,24
50-54,12,11,11,14,0,0,23,25
55-59,9,14,3,4,0,0,12,18
60-64,8,18,4,6,0,0,12,24
65-69,13,23,5,7,0,0,18,30
70-74,12,13,3,2,0,0,15,15
>=75,28,26,13,6,0,0,41,32
N.D.,1,0,0,0,0,0,1,0
TOTAL,204,233,168,195,1,0,373,428
