Quadro 4.10  Peões vítimas em Portugal por distrito,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Localização,VM,,,FG,,,FL,,,Total de peões vítimas,,
,2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%),2019,2020,∆(%)
,,,20/19,,,20/19,,,20/19,,,20/19
Aveiro,5,5,0,27,18,-0.33333333333333337,283,194,-0.31448763250883394,315,217,-0.3111111111111111
Beja,2,0,-1,9,6,-0.33333333333333337,35,33,-0.05714285714285716,46,39,-0.15217391304347827
Braga,11,5,-0.5454545454545454,35,27,-0.22857142857142854,417,312,-0.2517985611510791,463,344,-0.25701943844492436
Bragança,1,1,0,11,3,-0.7272727272727273,51,23,-0.5490196078431373,63,27,-0.5714285714285714
C. Branco,1,1,0,10,8,-0.19999999999999996,59,38,-0.35593220338983056,70,47,-0.3285714285714286
Coimbra,7,3,-0.5714285714285714,16,4,-0.75,164,124,-0.24390243902439024,187,131,-0.2994652406417112
Évora,3,0,-1,8,4,-0.5,38,27,-0.2894736842105263,49,31,-0.36734693877551017
Faro,11,9,-0.18181818181818177,27,22,-0.18518518518518523,242,161,-0.3347107438016529,280,192,-0.3142857142857143
Guarda,1,1,0,6,5,-0.16666666666666663,43,21,-0.5116279069767442,50,27,-0.45999999999999996
Leiria,11,7,-0.36363636363636365,18,6,-0.6666666666666667,184,101,-0.45108695652173914,213,114,-0.46478873239436624
Lisboa,25,25,0,103,61,-0.4077669902912622,1615,947,-0.4136222910216718,1743,1033,-0.40734366035570857
Portalegre,1,2,1,5,5,0,27,27,0,33,34,0.030303030303030276
Porto,26,18,-0.3076923076923077,43,28,-0.34883720930232553,1093,754,-0.31015553522415373,1162,800,-0.3115318416523236
Santarém,5,3,-0.4,24,16,-0.33333333333333337,152,83,-0.45394736842105265,181,102,-0.43646408839779005
Setúbal,7,5,-0.2857142857142857,29,29,0,455,313,-0.3120879120879121,491,347,-0.29327902240325865
V. Castelo,8,2,-0.75,9,5,-0.4444444444444444,94,46,-0.5106382978723405,111,53,-0.5225225225225225
Vila Real,5,2,-0.6,13,8,-0.3846153846153846,80,59,-0.26249999999999996,98,69,-0.29591836734693877
Viseu,4,4,0,16,8,-0.5,148,92,-0.3783783783783784,168,104,-0.38095238095238093
RA Açores,5,5,0,24,11,-0.5416666666666667,77,40,-0.48051948051948057,106,56,-0.4716981132075472
RA Madeira,1,3,2,17,17,0,134,89,-0.33582089552238803,152,109,-0.2828947368421053
Total,140,101,-0.2785714285714286,450,291,-0.3533333333333334,5391,3484,-0.35373771099981455,5981,3876,-0.3519478348102324
,,,,,,,,,,,,
