Quadro 2.2.  Veículos intervenientes em acidentes com vítimas em Portugal por categoria e idade do veículo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Categoria e idade do veículo,≤ 4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,20 a 24 anos,,≥ 25 anos,,n.d.,,Total,
,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020
Automóvel ligeiro,6350,5271,6624,4492,8959,6009,9791,6748,9192,6230,4262,2779,487,334,45665,31863
Automóvel pesado,270,262,303,198,432,320,339,229,221,145,90,73,24,9,1679,1236
Ciclomotor,369,342,322,200,720,495,190,141,280,228,608,460,17,15,2506,1881
Motociclo cilindrada <= 125cc,1807,1797,1196,898,710,474,238,176,244,198,240,178,16,28,4451,3749
Motociclo cilindrada > 125cc,902,855,437,323,474,413,452,410,468,355,339,253,15,14,3087,2623
Velocípede,186,225,46,37,40,27,6,7,14,21,5,4,2134,2046,2431,2367
Quadriciclo,41,51,60,37,133,107,85,63,26,24,2,4,0,2,347,288
Triciclo,17,13,15,6,8,8,3,0,2,3,1,1,1,0,47,31
Veículo agrícola,49,56,22,11,18,24,32,30,26,20,65,60,4,1,216,202
Outros*,46,36,9,6,2,3,2,5,5,4,2,2,277,258,343,314
Total,10037,8908,9034,6208,11496,7880,11138,7809,10478,7228,5614,3814,2975,2707,60772,44554
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,
