Quadro 1.7  Sinistralidade em Portugal por natureza detalhada do acidente,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Natureza,,AcV,,,VM,,,FG,,,FL,,
,,2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19",2019,2020,"∆(%) 
20/19"
Atropelamento,Atropelamento de peões,4999,3230,-0.3538707741548309,122,83,-0.319672131147541,391,265,-0.32225063938618925,4970,3129,-0.37042253521126756
,Atropelamento de animais,71,90,0.267605633802817,1,1,0,0,4,-,75,97,0.2933333333333332
,Atropelamento com fuga,495,356,-0.28080808080808084,11,11,0,36,23,-0.36111111111111116,468,344,-0.2649572649572649
,Total,5565,3676,-0.3394429469901168,134,95,-0.29104477611940294,427,292,-0.3161592505854801,5513,3570,-0.3524396880101578
Colisão,Colisão com fuga,631,555,-0.12044374009508718,3,5,0.6666666666666667,30,23,-0.23333333333333328,739,634,-0.14208389715832204
,Colisão com outras situações,3269,2184,-0.3319057815845824,33,33,0,136,97,-0.2867647058823529,4214,2638,-0.37399145704793546
,Colisão frontal,2834,2109,-0.25582215949188425,110,70,-0.36363636363636365,326,283,-0.13190184049079756,4271,3036,-0.2891594474361976
,Colisão traseira com outro veículo em movimento,4280,2882,-0.3266355140186916,37,30,-0.18918918918918914,151,105,-0.304635761589404,5699,3686,-0.3532198631338831
,Colisão lateral com outro veículo em movimento,6714,5123,-0.23696753053321418,63,52,-0.17460317460317465,298,245,-0.1778523489932886,8460,6190,-0.26832151300236406
,Colisão com veiculo ou obstáculo na faixa de rodagem,1067,849,-0.20431115276476097,13,17,0.3076923076923077,57,47,-0.17543859649122806,1323,997,-0.24640967498110355
,Colisão choque em cadeia,723,416,-0.4246196403872753,6,3,-0.5,14,13,-0.0714285714285714,1174,646,-0.4497444633730835
,Total,19518,14118,-0.2766676913618199,265,210,-0.2075471698113207,1012,813,-0.19664031620553357,25880,17827,-0.31116692426584236
Despiste,Despiste com dispositivo de retenção,570,419,-0.26491228070175443,1,10,9,21,21,0,630,449,-0.2873015873015873
,Despiste sem dispositivo de retenção,1892,1574,-0.16807610993657507,20,19,-0.050000000000000044,100,76,-0.24,1975,1641,-0.16911392405063286
,Despiste com fuga,101,96,-0.04950495049504955,0,1,-,19,15,-0.21052631578947367,111,101,-0.09009009009009006
,Despiste simples,6163,4907,-0.20379685218237875,119,98,-0.17647058823529416,455,377,-0.17142857142857137,6708,5145,-0.23300536672629701
,Despiste com transposição do dispositivo de retenção lateral,189,166,-0.12169312169312174,13,13,0,18,16,-0.11111111111111116,227,173,-0.23788546255506604
,Despiste com capotamento,2060,1649,-0.19951456310679616,105,58,-0.4476190476190476,225,158,-0.2977777777777778,2554,1944,-0.2388410336726703
,Despiste com colisão com veículo imobil. ou obstáculo,1193,1120,-0.06119027661357923,31,32,0.032258064516129004,106,109,0.028301886792452935,1336,1208,-0.09580838323353291
,Total,12168,9931,-0.18384286653517423,289,231,-0.20069204152249132,944,772,-0.18220338983050843,13541,10661,-0.2126873938409276
Total,,37251,27725,-0.25572467853212,688,536,-0.22093023255813948,2383,1877,-0.2123373898447335,44934,32058,-0.28655361196421414
