,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
,,,,,,,,,
Surgindo inesperadamente faixa rodagem,158,132,-26,586,522,-64,2215,1956,-259
,,,,,,,,,
Desrespeito pela sinalização,13,12,-1,84,52,-32,218,191,-27
,,,,,,,,,
Influenciado pelo álcool,3,1,-2,18,14,-4,88,87,-1
,,,,,,,,,
Nenhuma,169,187,18,814,750,-64,4236,4076,-160
,,,,,,,,,
Não definida,2,5,3,35,27,-8,88,164,76
Total,345,337,-8,1537,1365,-172,6845,6474,-371
