,,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,,Índice de
,,,,,,,,,,,,,Gravidade
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,2000
,,,,,,,,,,,,,
2ªFeira,6691,6349,-342,231,256,25,957,945,-12,7779,7308,-471,"4,03"
,,,,,,,,,,,,,
3ªFeira,6339,5852,-487,199,187,-12,986,885,-101,7075,6761,-314,"3,20"
,,,,,,,,,,,,,
4ªFeira,6372,5878,-494,187,179,-8,881,863,-18,7427,6844,-583,"3,05"
,,,,,,,,,,,,,
5ªFeira,6457,5937,-520,229,177,-52,989,903,-86,7458,6711,-747,"2,98"
,,,,,,,,,,,,,
6ªFeira,7516,6940,-576,276,232,-44,1180,1028,-152,8668,8121,-547,"3,34"
,,,,,,,,,,,,,
Sábado,7374,6690,-684,308,296,-12,1296,1195,-101,9244,8190,-1054,"4,42"
,,,,,,,,,,,,,
Domingo,7217,6513,-704,320,302,-18,1408,1099,-309,9979,9071,-908,"4,64"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total,47966,44159,-3807,1750,1629,-121,7697,6918,-779,57630,53006,-4624,"3,69"
,,,,,,,,,,,,,
