Distrito de Coimbra,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
,,,,,,,,
EN1,"179,790","179,950",7,13,2,0,10,230
,,,,,,,,
EN1,"197,750","197,900",6,8,0,2,6,38
,,,,,,,,
EN109,"99,900","100,100",5,10,0,0,10,30
,,,,,,,,
EN109,"103,000","103,100",5,6,0,1,7,31
,,,,,,,,
IC1,"116,000","116,100",6,12,1,0,12,136
,,,,,,,,
IP3,"48,700","48,900",5,9,0,2,5,35
,,,,,,,,
IP3,"67,500","67,700",6,8,0,2,9,47
,,Total,40,66,3,7,59,
Distrito da Guarda,,,,,,,,
,,,,,,,,
,,,,,,,,
EN231,"40,100","40,300",6,11,0,1,6,28
Distrito de Leiria,,,,,,,,
,,,,,,,,
,,,,,,,,
EN1,"107,900","108,100",8,16,0,1,11,43
,,,,,,,,
EN1,"113,700","113,900",5,11,0,1,6,28
,,,,,,,,
EN1,"116,600","116,800",5,9,0,3,15,75
,,,,,,,,
EN1,"135,700","135,900",6,11,0,0,8,24
,,,,,,,,
EN109,"137,450","137,600",5,7,2,0,4,212
,,,,,,,,
EN109,"143,850","144,050",6,12,0,1,11,43
,,,,,,,,
EN113,"9,200","9,350",6,10,0,0,12,36
,,,,,,,,
EN237,"3,800","3,850",10,10,0,0,20,60
,,,,,,,,
EN242,"23,900","24,100",9,14,1,1,8,134
,,,,,,,,
EN242,"49,000","49,100",5,7,0,3,2,36
,,,,,,,,
EN360,"4,620","4,800",6,7,1,3,4,142
,,,,,,,,
EN8,"99,950","100,075",5,14,0,0,13,39
,,,,,,,,
EN8-5,"7,500","7,700",5,11,0,1,15,55
,,,,,,,,
IC2,"119,900","120,100",5,14,0,2,6,38
,,,,,,,,
IC2,"122,436","122,600",5,14,0,0,8,24
,,,,,,,,
IC2,"123,500","123,600",6,15,3,2,6,338
,,Total,97,182,7,18,149,1327
Distrito de Viseu,,,,,,,,
,,,,,,,,
,,,,,,,,
EN329-1,"9,800","10,000",5,10,0,1,6,28
,,,,,,,,
IP5,"68,800","69,000",7,13,1,0,13,139
,,Total,12,23,1,1,19,
