,,,,,,,,,
,1996,1997,97/96,1998,98/97,1999,99/98,2000,00/99
,,,,,,,,,
Vítimas mortais,2100,1939,-161,1865,-74,1750,-115,1629,-121
,,,,,,,,,
,,,,,,,,,
Condutores,1145,1104,-41,1070,-34,1022,-48,916,-106
,,,,,,,,,
Passageiros,475,413,-62,439,26,383,-56,376,-7
,,,,,,,,,
Peões,480,422,-58,356,-66,345,-11,337,-8
Feridos Graves,10842,9335,-1507,8177,-1158,7697,-480,6918,-779
,,,,,,,,,
Condutores,5718,5172,-546,4479,-693,4115,-364,3777,-338
Passageiros,2651,2190,-461,1987,-203,2045,58,1776,-269
Peões,2473,1973,-500,1711,-262,1537,-174,1365,-172
Feridos Leves,55785,57181,1396,58426,1245,57630,-796,53006,-4624
,,,,,,,,,
,,,,,,,,,
Condutores,30574,32586,2012,32901,315,32253,-648,29316,-2937
,,,,,,,,,
Passageiros,18017,17379,-638,18540,1161,18532,-8,17216,-1316
,,,,,,,,,
Peões,7194,7216,22,6985,-231,6845,-140,6474,-371
