Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,"93,700","93,900",8,16,0,0,9,27
EN101,"104,900","105,050",6,13,0,0,11,33
EN103,"25,000","25,100",6,13,0,0,15,45
EN103,"38,600","38,750",6,10,0,1,9,37
EN105,"41,400","41,600",5,11,0,1,6,28
EN14,"21,900","22,000",5,11,0,0,9,27
EN14,"29,660","29,850",7,17,0,2,11,53
EN201,"59,550","59,750",5,9,0,2,7,41
EN204,"41,285","41,400",5,10,0,2,13,59
EN205,"15,500","15,700",5,12,0,1,6,28
EN205,"45,000","45,200",6,9,0,1,14,52
EN206,"22,200","22,300",5,10,0,0,7,21
EN206,"29,500","29,630",8,15,1,1,14,152
EN206,"30,000","30,200",6,11,1,0,8,124
EN206,"32,970","33,150",5,9,0,1,12,46
EN309,"31,400","31,400",5,10,0,0,8,24
A3 (2),"37,500","37,650",8,10,0,1,10,40
A3 (2),"38,700","38,880",7,14,0,1,8,34
,,Total,108,210,2,14,177,
(1) Sentido decrescente da quilometragem,,,,,,,,
(2) Sentido crescente da quilometragem,,,,,,,,
