,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
,,,,,,,,,
Capacete,41,30,-11,306,245,-61,2336,1842,-494
,,,,,,,,,
Cinto de segurança,240,234,-6,1254,1118,-136,12247,12016,-231
,,,,,,,,,
Cadeira criança frente,0,2,2,6,2,-4,73,52,-21
,,,,,,,,,
Cadeira criança trás,2,3,1,14,24,10,369,398,29
,,,,,,,,,
Sem cadeira criança,3,7,4,26,19,-7,294,246,-48
,,,,,,,,,
Sem uso cinto/capacete,97,96,-1,416,354,-62,3102,2553,-549
,,,,,,,,,
Não definido,0,4,4,23,14,-9,111,109,-2
,,,,,,,,,
Total,383,376,-7,2045,1776,-269,18532,17216,-1316
