,,,,,,,,,,,,,Índice,
,Acidentes c/,,,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,,de,
,vítimas,,,,,,,,,,,,,
,,,,,,,,,,,,,Gravidade,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000
,,,,,,,,,,,,,,
Jan,3448,3373,-75,110,117,7,602,489,-113,3897,3889,-8,"3,19","3,47"
,,,,,,,,,,,,,,
Fev,3379,3395,16,125,134,9,535,536,1,3933,3939,6,"3,70","3,95"
,,,,,,,,,,,,,,
Mar,3851,3432,-419,151,146,-5,635,534,-101,4474,4063,-411,"3,92","4,25"
,,,,,,,,,,,,,,
Abr,3966,3134,-832,139,106,-33,625,541,-84,4739,3918,-821,"3,50","3,38"
,,,,,,,,,,,,,,
Mai,4165,3591,-574,129,123,-6,636,599,-37,5094,4238,-856,"3,10","3,43"
,,,,,,,,,,,,,,
Jun,4210,3995,-215,157,136,-21,659,619,-40,5056,4828,-228,"3,73","3,40"
,,,,,,,,,,,,,,
Jul,4544,4430,-114,156,181,25,729,672,-57,5528,5490,-38,"3,43","4,09"
,,,,,,,,,,,,,,
Ago,4594,4089,-505,182,166,-16,747,698,-49,5942,5257,-685,"3,96","4,06"
,,,,,,,,,,,,,,
Set,4023,3903,-120,153,168,15,649,601,-48,4948,4657,-291,"3,80","4,30"
,,,,,,,,,,,,,,
Out,4013,3914,-99,139,134,-5,709,565,-144,4842,4581,-261,"3,46","3,42"
,,,,,,,,,,,,,,
Nov,3862,3461,-401,150,120,-30,564,511,-53,4494,4086,-408,"3,88","3,47"
,,,,,,,,,,,,,,
Dez,3911,3442,-469,159,98,-61,607,553,-54,4683,4060,-623,"4,07","2,85"
,,,,,,,,,,,,,,
Total,47966,44159,-3807,1750,1629,-121,7697,6918,-779,57630,53006,-4624,"3,65","3,69"
