,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
Vítimas mortais,118,97,-21,227,238,11,345,337,-8
,,,,,,,,,
<=5,7,1,-6,13,10,-3,20,11,-9
6-9,2,1,-1,6,7,1,8,9,1
10-14,1,1,0,3,3,0,4,4,0
15-19,3,3,0,4,2,-2,8,5,-3
20-24,3,0,-3,4,5,1,8,8,0
25-29,1,0,-1,8,14,6,9,14,5
30-34,1,0,-1,9,13,4,10,13,3
35-39,1,0,-1,17,13,-4,18,13,-5
40-44,3,6,3,9,15,6,12,21,9
45-49,4,4,0,14,14,0,18,18,0
50-54,4,5,1,16,13,-3,20,18,-2
55-59,9,10,1,15,10,-5,24,20,-4
60-64,6,11,5,26,19,-7,32,30,-2
>=65,72,53,-19,81,97,16,153,150,-3
Não def.,1,2,1,0,0,0,1,3,2
Feridos Graves,743,638,-105,794,724,-70,1537,1365,-172
,,,,,,,,,
<=5,32,31,-1,50,39,-11,82,70,-12
6-9,37,33,-4,60,56,-4,97,90,-7
10-14,44,34,-10,41,47,6,85,81,-4
15-19,39,42,3,39,23,-16,78,65,-13
20-24,32,31,-1,33,42,9,65,73,8
25-29,29,22,-7,37,38,1,66,60,-6
30-34,26,25,-1,27,33,6,53,58,5
35-39,21,31,10,44,39,-5,65,70,5
40-44,26,26,0,37,35,-2,63,61,-2
45-49,26,30,4,42,43,1,68,73,5
50-54,38,29,-9,57,34,-23,95,63,-32
55-59,52,45,-7,52,34,-18,104,79,-25
60-64,70,33,-37,52,57,5,122,90,-32
>=65,271,223,-48,223,198,-25,494,421,-73
Não def.,0,3,3,0,6,6,0,11,11
Feridos Leves,3446,3179,-267,3395,3281,-114,6845,6474,-371
,,,,,,,,,
<=5,178,125,-53,276,205,-71,455,330,-125
6-9,225,192,-33,322,304,-18,548,496,-52
10-14,302,297,-5,282,258,-24,584,555,-29
15-19,233,237,4,202,174,-28,435,411,-24
20-24,219,186,-33,180,185,5,399,371,-28
25-29,149,155,6,176,222,46,325,378,53
30-34,146,141,-5,173,188,15,319,330,11
35-39,141,163,22,190,173,-17,331,336,5
40-44,166,134,-32,184,165,-19,351,299,-52
45-49,183,156,-27,166,198,32,349,354,5
50-54,224,174,-50,165,169,4,390,343,-47
55-59,182,158,-24,143,162,19,325,320,-5
60-64,216,229,13,200,172,-28,416,401,-15
>=65,882,825,-57,736,684,-52,1618,1509,-109
Não def.,0,7,7,0,22,22,0,41,41
