,,,,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
PSP,15859,14654,-1205,256,226,-30,2744,2391,-353,17365,15986,-1379
,,,,,,,,,,,,
,,,,,,,,,,,,
Janeiro,1204,1143,-61,20,19,-1,224,187,-37,1298,1210,-88
,,,,,,,,,,,,
Fevereiro,1252,1202,-50,17,21,4,232,202,-30,1324,1291,-33
,,,,,,,,,,,,
Março,1352,1289,-63,15,27,12,248,206,-42,1451,1371,-80
,,,,,,,,,,,,
Abril,1325,980,-345,12,15,3,218,182,-36,1460,1091,-369
,,,,,,,,,,,,
Maio,1394,1297,-97,19,19,0,226,217,-9,1580,1387,-193
,,,,,,,,,,,,
Junho,1384,1282,-102,23,16,-7,228,217,-11,1507,1407,-100
,,,,,,,,,,,,
Julho,1381,1277,-104,29,24,-5,242,194,-48,1510,1428,-82
,,,,,,,,,,,,
Agosto,1231,1096,-135,24,10,-14,218,199,-19,1404,1254,-150
,,,,,,,,,,,,
Setembro,1218,1271,53,23,16,-7,212,192,-20,1327,1373,46
,,,,,,,,,,,,
Outubro,1427,1412,-15,31,22,-9,267,234,-33,1548,1523,-25
,,,,,,,,,,,,
Novembro,1357,1218,-139,18,19,1,204,180,-24,1482,1341,-141
,,,,,,,,,,,,
Dezembro,1334,1187,-147,25,18,-7,225,181,-44,1474,1310,-164
,,,,,,,,,,,,
GNR,32107,29505,-2602,1494,1403,-91,4953,4527,-426,40265,37020,-3245
,,,,,,,,,,,,
Janeiro,2244,2230,-14,90,98,8,378,302,-76,2599,2679,80
,,,,,,,,,,,,
Fevereiro,2127,2193,66,108,113,5,303,334,31,2609,2648,39
,,,,,,,,,,,,
Março,2499,2143,-356,136,119,-17,387,328,-59,3023,2692,-331
,,,,,,,,,,,,
Abril,2641,2154,-487,127,91,-36,407,359,-48,3279,2827,-452
,,,,,,,,,,,,
Maio,2771,2294,-477,110,104,-6,410,382,-28,3514,2851,-663
,,,,,,,,,,,,
Junho,2826,2713,-113,134,120,-14,431,402,-29,3549,3421,-128
,,,,,,,,,,,,
Julho,3163,3153,-10,127,157,30,487,478,-9,4018,4062,44
,,,,,,,,,,,,
Agosto,3363,2993,-370,158,156,-2,529,499,-30,4538,4003,-535
,,,,,,,,,,,,
Setembro,2805,2632,-173,130,152,22,437,409,-28,3621,3284,-337
,,,,,,,,,,,,
Outubro,2586,2502,-84,108,112,4,442,331,-111,3294,3058,-236
,,,,,,,,,,,,
Novembro,2505,2243,-262,132,101,-31,360,331,-29,3012,2745,-267
,,,,,,,,,,,,
Dezembro,2577,2255,-322,134,80,-54,382,372,-10,3209,2750,-459
,,,,,,,,,,,,
Total,47966,44159,-3807,1750,1629,-121,7697,6918,-779,57630,53006,-4624
,,,,,,,,,,,,
