,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,1203,1255,1272,1162,1281,1389,1496,1242,1350,1372,1163,1188,15373
,,,,,,,,,,,,,,
REGIÃO DE,Acid.c/ mortos e f.graves,246,266,261,246,280,282,291,266,270,273,221,256,3158
,,,,,,,,,,,,,,
LISBOA E,Acid.com mortos,38,33,35,23,44,48,47,34,38,33,29,31,433
,,,,,,,,,,,,,,
VALE TEJO,Mortos,43,36,37,25,52,58,50,43,55,36,30,35,500
,,,,,,,,,,,,,,
,F.Graves,256,276,277,275,289,301,303,307,307,291,223,282,3387
,,,,,,,,,,,,,,
,F.Leves,1252,1373,1389,1302,1381,1574,1726,1507,1503,1477,1287,1279,17050
,,,,,,,,,,,,,,
,Acidentes com vítimas,739,765,774,722,811,826,885,676,767,841,708,739,9253
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,135,139,145,131,149,128,146,114,130,141,113,139,1610
,,,,,,,,,,,,,,
Lisboa,Acid.com mortos,23,21,13,8,18,14,21,11,15,15,14,13,186
,,,,,,,,,,,,,,
,Mortos,25,21,13,10,22,15,23,12,19,18,14,14,206
,,,,,,,,,,,,,,
,F.Graves,142,130,162,140,151,141,152,128,141,154,113,147,1701
,,,,,,,,,,,,,,
,F.Leves,778,816,853,799,889,959,1024,835,849,897,770,807,10276
,,,,,,,,,,,,,,
,Acidentes com vítimas,212,228,218,195,216,257,250,235,240,266,195,186,2698
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,62,83,68,66,73,92,82,82,73,87,57,60,885
,,,,,,,,,,,,,,
Santarém,Acid.com mortos,7,9,7,5,11,15,10,9,12,9,8,7,109
,,,,,,,,,,,,,,
,Mortos,8,12,7,5,11,22,10,10,16,9,8,7,125
,,,,,,,,,,,,,,
,F.Graves,61,88,71,82,81,101,91,101,93,97,61,69,996
,,,,,,,,,,,,,,
,F.Leves,211,245,211,199,209,242,260,253,268,272,216,180,2766
,,,,,,,,,,,,,,
,Acidentes com vítimas,252,262,280,245,254,306,361,331,343,265,260,263,3422
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,49,44,48,49,58,62,63,70,67,45,51,57,663
,,,,,,,,,,,,,,
Setúbal,Acid.com mortos,8,3,15,10,15,19,16,14,11,9,7,11,138
,,,,,,,,,,,,,,
,Mortos,10,3,17,10,19,21,17,21,20,9,8,14,169
,,,,,,,,,,,,,,
,F.Graves,53,58,44,53,57,59,60,78,73,40,49,66,690
,,,,,,,,,,,,,,
,F.Leves,263,312,325,304,283,373,442,419,386,308,301,292,4008
,,,,,,,,,,,,,,
