,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões,Cond.,Passag.,Peões
,,,,,,,,,,,,
REGIÃO NORTE,208,72,97,531,224,238,8219,5162,2150,8958,5458,2485
,,,,,,,,,,,,
Dentro Localidade,109,26,76,372,129,218,6045,3505,1968,6526,3660,2262
,,,,,,,,,,,,
Fora Localidade,99,46,21,159,95,20,2174,1657,182,2432,1798,223
,,,,,,,,,,,,
Braga,44,13,32,141,48,87,2230,1370,528,2415,1431,647
,,,,,,,,,,,,
Dentro Localidade,25,7,24,115,32,82,1574,932,444,1714,971,550
,,,,,,,,,,,,
Fora Localidade,19,6,8,26,16,5,656,438,84,701,460,97
,,,,,,,,,,,,
Bragança,18,15,7,55,25,15,256,169,31,329,209,53
,,,,,,,,,,,,
Dentro Localidade,3,0,3,31,10,14,139,73,31,173,83,48
,,,,,,,,,,,,
Fora Localidade,15,15,4,24,15,1,117,96,0,156,126,5
,,,,,,,,,,,,
Porto,99,27,46,233,97,103,4631,2864,1429,4963,2988,1578
,,,,,,,,,,,,
Dentro Localidade,70,13,39,180,69,96,3737,2137,1362,3987,2219,1497
,,,,,,,,,,,,
Fora Localidade,29,14,7,53,28,7,894,727,67,976,769,81
,,,,,,,,,,,,
V. Castelo,26,7,7,57,27,16,708,444,91,791,478,114
,,,,,,,,,,,,
Dentro Localidade,4,2,5,18,6,11,370,221,63,392,229,79
,,,,,,,,,,,,
Fora Localidade,22,5,2,39,21,5,338,223,28,399,249,35
,,,,,,,,,,,,
V. Real,21,10,5,45,27,17,394,315,71,460,352,93
,,,,,,,,,,,,
Dentro Localidade,7,4,5,28,12,15,225,142,68,260,158,88
,,,,,,,,,,,,
Fora Localidade,14,6,0,17,15,2,169,173,3,200,194,5
,,,,,,,,,,,,
