,,,,,,,,,,,,
,Acidentes c/,,,,,,,,,,,
,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,vítimas,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia,32956,30326,-2630,925,854,-71,4711,4269,-442,39373,36301,-3072
,,,,,,,,,,,,
Bom tempo,27918,25042,-2876,769,724,-45,4012,3586,-426,32756,29459,-3297
,,,,,,,,,,,,
Chuva,4785,5074,289,151,118,-33,657,641,-16,6293,6588,295
,,,,,,,,,,,,
Outros (1),254,210,-44,5,12,7,42,42,0,324,254,-70
,,,,,,,,,,,,
Noite,14987,13816,-1171,824,775,-49,2981,2644,-337,18238,16691,-1547
,,,,,,,,,,,,
Bom tempo,12046,10311,-1735,680,608,-72,2451,2045,-406,14548,12270,-2278
,,,,,,,,,,,,
Chuva,2704,3318,614,124,151,27,490,549,59,3368,4181,813
,,,,,,,,,,,,
Outros (1),237,187,-50,20,16,-4,40,50,10,322,240,-82
,,,,,,,,,,,,
Não definido,23,17,-6,1,0,-1,5,5,0,19,14,-5
,,,,,,,,,,,,
Bom tempo,7,5,-2,1,0,-1,0,2,2,6,3,-3
,,,,,,,,,,,,
Chuva,3,1,-2,0,0,0,1,0,-1,2,2,0
,,,,,,,,,,,,
Outros (1),12,11,-1,0,0,0,4,3,-1,11,9,-2
,,,,,,,,,,,,
Total dia e noite,47943,44142,-3801,1749,1629,-120,7692,6913,-779,57611,52992,-4619
,,,,,,,,,,,,
Bom tempo,39971,35358,-4613,1450,1332,-118,6463,5633,-830,47310,41732,-5578
,,,,,,,,,,,,
Chuva,7492,8393,901,275,269,-6,1148,1190,42,9663,10771,1108
,,,,,,,,,,,,
Outros (1),503,408,-95,25,28,3,86,95,9,657,503,-154
