,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
REGIÃO ALENTEJO,91,43,4,271,158,50,1384,879,152,1746,1080,206
,,,,,,,,,,,,
Dentro Localidade,5,2,2,59,24,42,428,165,140,492,191,184
,,,,,,,,,,,,
Fora Localidade,86,41,2,212,134,8,956,714,12,1254,889,22
,,,,,,,,,,,,
Beja,42,17,3,93,49,15,514,322,53,649,388,71
,,,,,,,,,,,,
Dentro Localidade,1,1,2,12,4,8,118,47,47,131,52,57
,,,,,,,,,,,,
Fora Localidade,41,16,1,81,45,7,396,275,6,518,336,14
,,,,,,,,,,,,
Évora,32,19,1,128,84,15,540,401,60,700,504,76
,,,,,,,,,,,,
Dentro Localidade,1,0,0,33,11,15,183,79,57,217,90,72
,,,,,,,,,,,,
Fora Localidade,31,19,1,95,73,0,357,322,3,483,414,4
,,,,,,,,,,,,
Portalegre,17,7,0,50,25,20,330,156,39,397,188,59
,,,,,,,,,,,,
Dentro Localidade,3,1,0,14,9,19,127,39,36,144,49,55
,,,,,,,,,,,,
Fora Localidade,14,6,0,36,16,1,203,117,3,253,139,4
,,,,,,,,,,,,
