,,Grupos etários,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,Total(1)
,1999,511,3905,10420,8903,6945,5942,5197,4262,3636,2671,2142,3614,60120
Colisão,2000,391,3755,9397,7922,6284,5506,4825,4098,3384,2498,2013,3155,54917
,00/99,-120,-150,-1023,-981,-661,-436,-372,-164,-252,-173,-129,-459,-5203
,1999,62,837,2667,2123,1445,1206,994,734,561,383,352,571,12548
Despiste,2000,39,994,2491,1859,1331,1182,870,677,489,352,316,573,11623
,00/99,-23,157,-176,-264,-114,-24,-124,-57,-72,-31,-36,2,-925
,1999,31,408,1450,1193,887,781,653,574,449,353,266,345,7760
Atropelamento,2000,17,420,1286,1046,850,761,622,522,435,327,253,316,7196
,00/99,-14,12,-164,-147,-37,-20,-31,-52,-14,-26,-13,-29,-564
,1999,604,5150,14537,12219,9277,7929,6844,5570,4646,3407,2760,4530,80428
Total,2000,447,5169,13174,10827,8465,7449,6317,5297,4308,3177,2582,4044,73736
,00/99,-157,19,-1363,-1392,-812,-480,-527,-273,-338,-230,-178,-486,-6692
