Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,"124,000","124,100",5,10,0,0,8,24
EN10,"126,900","127,100",5,11,0,0,9,27
EN10,"127,400","127,600",5,7,0,2,5,35
EN10,"128,100","128,300",7,13,0,0,7,21
EN10,"128,500","128,700",11,18,0,3,13,69
EN10,"128,800","129,000",8,12,0,3,6,48
EN10,"129,900","130,100",6,10,0,2,5,35
EN10,"132,000","132,200",8,15,0,1,8,34
EN10,"133,600","133,800",6,11,0,0,8,24
EN116,"1,950","2,150",6,9,2,1,8,234
EN117,"0,500","0,700",5,8,0,0,7,21
EN117,"1,000","1,100",10,18,0,1,11,43
EN247,"9,800","10,000",5,9,0,1,11,43
EN247,"63,300","63,500",5,10,0,0,10,30
EN249-4,"3,700","3,900",5,11,1,1,8,134
EN249-4,"5,900","6,000",6,9,0,1,5,25
EN3,"2,100","2,300",5,8,0,2,3,29
EN6,"2,800","3,000",5,13,0,0,8,24
EN6,"3,900","4,100",5,9,0,0,7,21
EN6,"4,800","5,000",6,14,0,1,7,31
EN6,"7,700","7,800",5,11,0,1,9,37
EN6,"9,000","9,175",5,9,1,0,7,121
EN6,"9,350","9,500",6,12,0,0,8,24
EN6,"10,900","11,000",10,13,1,1,9,137
EN6,"12,300","12,500",5,9,0,4,2,46
EN8-2,"5,800","6,000",6,14,0,0,8,24
EN8-2,"11,600","11,750",6,10,0,1,10,40
EN9,"7,900","8,000",5,10,0,1,5,25
EN9,"8,350","8,500",5,10,0,1,10,40
A1 (1),"2,300","2,500",6,13,0,0,8,24
A1 (1),"24,900","25,100",7,8,1,1,6,128
A1 (2),"31,400","31,500",7,7,0,0,7,21
A5 (2),"2,500","2,700",5,16,0,0,11,33
A5 (1),"3,800","4,000",6,11,0,1,7,31
A5 (2),"4,300","4,500",8,19,0,1,10,40
A5 (2),"4,900","5,100",10,24,0,0,12,36
A5 (1),"7,300","7,500",6,10,1,1,5,125
A5 (2),"7,800","8,000",6,13,1,0,6,118
A5 (2),"9,000","9,200",7,20,0,0,9,27
A5 (1),"10,000","10,200",5,9,0,0,7,21
IC19,"3,900","4,000",7,19,0,0,9,27
IC19,"4,300","4,500",5,11,1,0,5,115
IC19,"5,000","5,200",11,30,1,2,9,147
IC19,"5,300","5,500",8,15,0,1,7,31
IC19,"5,800","6,000",10,29,0,0,18,54
IC19,"6,900","7,000",7,18,0,0,8,24
IC19,"7,800","8,000",6,13,0,1,7,31
(1) Sentido decrescente da quilometragem,,,,,,,,
(2) Sentido crescente da quilometragem,,,,,,,,
