,,,,,,,,,
,Até 1 ano,,,1 ano,,,2 anos,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Ciclomotores,543,304,-239,1289,931,-358,954,919,-35
,,,,,,,,,
Motociclos,725,631,-94,1125,1084,-41,804,829,25
,,,,,,,,,
Veículos ligeiros,3588,3063,-525,6317,5999,-318,5080,5404,324
,,,,,,,,,
Veículos pesados,138,130,-8,368,315,-53,309,360,51
,,,,,,,,,
Sub-total,4994,4128,-866,9099,8329,-770,7147,7512,365
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,3 anos,,,4 anos,,,5 a 9 anos,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Ciclomotores,679,616,-63,625,512,-113,3317,2161,-1156
,,,,,,,,,
Motociclos,522,533,11,501,393,-108,1447,1335,-112
,,,,,,,,,
Veículos ligeiros,4272,4121,-151,3748,3832,84,20372,17944,-2428
,,,,,,,,,
Veículos pesados,286,303,17,181,248,67,1177,951,-226
,,,,,,,,,
Sub-total,5759,5573,-186,5055,4985,-70,26313,22391,-3922
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,10 a 14 anos,,,15 a 19 anos,,,>=20 anos,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
Ciclomotores,1914,1882,-32,544,361,-183,429,373,-56
,,,,,,,,,
Motociclos,313,367,54,57,57,0,76,62,-14
,,,,,,,,,
Veículos ligeiros,10303,10566,263,2645,2378,-267,961,846,-115
,,,,,,,,,
Veículos pesados,846,870,24,362,307,-55,277,192,-85
,,,,,,,,,
Sub-total,13376,13685,309,3608,3103,-505,1743,1473,-270
,,,,,,,,,
