,,,Feridos graves,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,Veículos,1999,4,69,377,311,231,192,179,127,99,74,80,111,1881
,Ligeiros,2000,3,101,398,304,207,186,155,130,111,74,65,99,1872
,,00/99,-1,32,21,-7,-24,-6,-24,3,12,0,-15,-12,-9
,Veículos,1999,0,0,8,6,9,9,10,10,13,4,5,4,78
,Pesados,2000,0,1,9,12,14,9,14,3,7,3,3,0,76
,,00/99,0,1,1,6,5,0,4,-7,-6,-1,-2,-4,-2
,,1999,57,30,10,9,6,4,10,7,11,9,5,46,213
,Velocípedes,2000,43,22,7,8,7,9,7,4,5,9,9,29,163
,,00/99,-14,-8,-3,-1,1,5,-3,-3,-6,0,4,-17,-50
,,1999,8,253,178,87,88,89,59,48,60,29,54,142,1116
,Ciclomotores,2000,4,178,131,75,71,61,61,45,31,29,44,113,860
,,00/99,-4,-75,-47,-12,-17,-28,2,-3,-29,0,-10,-29,-256
,,1999,7,115,229,193,75,69,34,14,13,6,4,8,785
,Motociclos,2000,5,130,252,150,81,48,39,12,10,10,3,15,773
,,00/99,-2,15,23,-43,6,-21,5,-2,-3,4,-1,7,-12
,,1999,76,467,803,606,410,365,296,209,198,124,154,320,4103
Total (2),,2000,55,435,798,549,383,314,278,196,165,128,127,270,3777
,,00/99,-21,-32,-5,-57,-27,-51,-18,-13,-33,4,-27,-50,-326
