,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total
,,Braga,925,9535,45391,55851
REGIÃO,,Bragança,247,2258,11068,13573
NORTE,,Porto,1629,19936,132192,153757
,,V. Castelo,583,4527,17524,22634
,,Vila Real,369,5233,15548,21150
,,,3753,41489,221723,266965
,,Aveiro,1127,12184,46202,59513
,,C. Branco,304,3664,15390,19358
REGIÃO,,Coimbra,644,6603,36876,44123
CENTRO,,Guarda,296,5136,13383,18815
,,Leiria,800,8600,35057,44457
,,Viseu,253,5301,23741,29295
,,,3424,41488,170649,215561
REGIÃO DE,,Lisboa,4210,41841,182505,228556
LISBOA,,Santarém,1122,10514,27468,39104
E VALE TEJO,,Setúbal,2303,16867,45073,64243
,,,7635,69222,255046,331903
,,Beja,270,4182,15044,19496
REGIÃO DO,,Évora,350,4156,13957,18463
ALENTEJO,,Portalegre,415,4390,10124,14929
,,,1035,12728,39125,52888
R. ALGARVE,,Faro,815,8315,35487,44617
,,,,,,
