,,,,,,,,,
,1996,1997,97/96,1998,98/97,1999,99/98,2000,00/99
,,,,,,,,,
Vítimas mortais,2100,1939,-161,1865,-74,1750,-115,1629,-121
,,,,,,,,,
<=5,35,34,-1,40,6,34,-6,30,-4
6-9,23,18,-5,24,6,20,-4,16,-4
10-14,36,41,5,47,6,17,-30,20,3
15-19,214,174,-40,176,2,146,-30,130,-16
20-24,286,286,0,276,-10,266,-10,229,-37
25-29,207,201,-6,205,4,208,3,180,-28
30-34,142,154,12,137,-17,142,5,132,-10
35-39,149,153,4,146,-7,116,-30,112,-4
40-44,136,112,-24,111,-1,103,-8,106,3
45-49,132,110,-22,77,-33,111,34,100,-11
50-54,108,101,-7,103,2,96,-7,97,1
55-59,133,101,-32,86,-15,77,-9,63,-14
60-64,106,92,-14,101,9,99,-2,99,0
>=65,373,339,-34,332,-7,300,-32,299,-1
Não def.,20,23,3,4,-19,15,11,16,1
Feridos Graves,10842,9335,-1507,8177,-1158,7697,-480,6918,-779
<=5,209,191,-18,194,3,179,-15,142,-37
6-9,241,209,-32,212,3,185,-27,164,-21
10-14,389,299,-90,275,-24,219,-56,198,-21
15-19,1433,1186,-247,1039,-147,904,-135,780,-124
20-24,1825,1558,-267,1327,-231,1214,-113,1176,-38
25-29,1181,1013,-168,894,-119,919,25,816,-103
30-34,862,767,-95,672,-95,597,-75,582,-15
35-39,747,616,-131,553,-63,550,-3,476,-74
40-44,627,570,-57,446,-124,457,11,435,-22
45-49,486,469,-17,378,-91,376,-2,351,-25
50-54,475,418,-57,389,-29,371,-18,314,-57
55-59,461,408,-53,339,-69,308,-31,261,-47
60-64,485,438,-47,373,-65,356,-17,273,-83
>=65,1300,1096,-204,1028,-68,986,-42,856,-130
Não def.,121,97,-24,58,-39,76,18,94,18
Feridos Leves,55785,57181,1396,58426,1245,57630,-796,53006,-4624
,,,,,,,,,
<=5,1265,1364,99,1549,185,1662,113,1479,-183
6-9,1211,1267,56,1412,145,1389,-23,1294,-95
10-14,2052,1964,-88,2041,77,1844,-197,1663,-181
15-19,8363,8367,4,8105,-262,6592,-1513,6094,-498
20-24,9802,10254,452,10194,-60,9936,-258,8670,-1266
25-29,6725,6618,-107,6954,336,7287,333,6536,-751
30-34,4931,5013,82,4881,-132,5123,242,4781,-342
35-39,4016,4025,9,4207,182,4275,68,4074,-201
40-44,3282,3447,165,3527,80,3715,188,3430,-285
45-49,2792,2975,183,3080,105,3145,65,3020,-125
50-54,2405,2477,72,2663,186,2661,-2,2578,-83
55-59,2170,2295,125,2315,20,2237,-78,2081,-156
60-64,2085,2098,13,2261,163,2154,-107,2009,-145
>=65,4273,4564,291,5015,451,5123,108,4767,-356
Não def.,413,453,40,222,-231,487,265,530,43
