,,,,,,,,,
,1996,1997,97/96,1998,98/97,1999,99/98,2000,00/99
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,480,422,-58,356,-66,345,-11,337,-8
,,,,,,,,,
Dentro Localidade,303,273,-30,226,-47,226,0,219,-7
,,,,,,,,,
Fora Localidade,177,149,-28,130,-19,119,-11,118,-1
,,,,,,,,,
Feridos Graves,2473,1973,-500,1711,-262,1537,-174,1365,-172
,,,,,,,,,
Dentro Localidade,2162,1747,-415,1507,-240,1363,-144,1225,-138
,,,,,,,,,
Fora Localidade,311,226,-85,204,-22,174,-30,140,-34
,,,,,,,,,
Feridos Leves,7194,7216,22,6985,-231,6845,-140,6474,-371
,,,,,,,,,
Dentro Localidade,6291,6542,251,6351,-191,6314,-37,5996,-318
,,,,,,,,,
Fora Localidade,903,674,-229,634,-40,531,-103,478,-53
,,,,,,,,,
Total vítimas,10147,9611,-536,9052,-559,8727,-325,8176,-551
,,,,,,,,,
Dentro Localidade,8756,8562,-194,8035,-527,7853,-182,7440,-413
,,,,,,,,,
Fora Localidade,1391,1049,-342,1017,-32,874,-143,736,-138
