,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,156,163,146,135,160,167,214,208,186,180,156,166,2037
,Acid.c/ mortos e f.graves,40,36,30,28,38,40,57,50,43,29,42,37,470
REGIÃO,Acid.com mortos,6,9,9,6,7,9,18,16,17,7,10,11,125
ALENTEJO,Mortos,6,9,12,9,8,12,18,18,17,8,10,11,138
,F.Graves,39,30,37,31,47,42,49,49,45,30,42,38,479
,F.Leves,182,198,174,180,182,189,256,260,210,223,165,196,2415
,Acidentes com vítimas,56,50,59,39,61,55,93,92,69,63,63,54,754
,Acid.c/ mortos e f.graves,13,11,14,6,14,11,25,18,21,7,17,9,166
Beja,Acid.com mortos,2,2,7,0,2,3,10,11,10,1,6,4,58
,Mortos,2,2,10,0,2,3,10,12,10,1,6,4,62
,F.Graves,14,9,17,6,14,12,23,15,18,7,14,8,157
,F.Leves,55,60,69,59,65,59,108,119,72,84,69,70,889
,Acidentes com vítimas,63,80,62,57,52,73,81,81,76,74,59,61,819
,Acid.c/ mortos e f.graves,20,18,15,13,12,19,21,27,16,12,17,12,202
Évora,Acid.com mortos,3,6,2,4,4,3,6,5,6,3,3,2,47
,Mortos,3,6,2,6,5,4,6,6,6,3,3,2,52
,F.Graves,19,15,19,16,20,20,17,29,21,16,18,17,227
,F.Leves,83,103,67,80,60,87,103,93,95,96,64,70,1001
,Acidentes com vítimas,37,33,25,39,47,39,40,35,41,43,34,51,464
,Acid.c/ mortos e f.graves,7,7,1,9,12,10,11,5,6,10,8,16,102
Portalegre,Acid.com mortos,1,1,0,2,1,3,2,0,1,3,1,5,20
,Mortos,1,1,0,3,1,5,2,0,1,4,1,5,24
,F.Graves,6,6,1,9,13,10,9,5,6,7,10,13,95
,F.Leves,44,35,38,41,57,43,45,48,43,43,32,56,525
