,Mortos,,,F. Graves,,,F. Leves,,,Total,,
,,,,,,,,,,,,
,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões,Cond.,Passag,Peões
,,,,,,,,,,,,
R. LISBOA V. TEJO,275,118,107,1764,830,793,8952,5478,2620,10991,6426,3520
,,,,,,,,,,,,
Dentro Localidade,88,35,66,1079,420,741,5688,3138,2502,6855,3593,3309
,,,,,,,,,,,,
Fora Localidade,187,83,41,685,410,52,3264,2340,118,4136,2833,211
,,,,,,,,,,,,
Lisboa,101,40,65,786,362,553,5226,3070,1980,6113,3472,2598
,,,,,,,,,,,,
Dentro Localidade,44,23,43,573,255,533,3680,2094,1918,4297,2372,2494
,,,,,,,,,,,,
Fora Localidade,57,17,22,213,107,20,1546,976,62,1816,1100,104
,,,,,,,,,,,,
Santarém,79,34,12,603,270,123,1559,1009,198,2241,1313,333
,,,,,,,,,,,,
Dentro Localidade,26,3,6,323,78,110,823,432,176,1172,513,292
,,,,,,,,,,,,
Fora Localidade,53,31,6,280,192,13,736,577,22,1069,800,41
,,,,,,,,,,,,
Setúbal,95,44,30,375,198,117,2167,1399,442,2637,1641,589
,,,,,,,,,,,,
Dentro Localidade,18,9,17,183,87,98,1185,612,408,1386,708,523
,,,,,,,,,,,,
Fora Localidade,77,35,13,192,111,19,982,787,34,1251,933,66
,,,,,,,,,,,,
