,,,1999,,2000,,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.,
,,Braga,259467,"13,3",278611,"13,4",
REGIÃO,,Bragança,58767,"12,5",64171,"13,0",
NORTE,,Porto,532030,"11,6",560483,"11,9",
,,V. Castelo,87607,"15,4",94249,"13,8",
,,Vila Real,50293,"17,8",52356,"18,3",
,,,988164,,1049870,,
,,Aveiro,249482,"14,3",255595,"13,4",
REGIÃO,,C. Branco,86408,"15,7",90523,"16,3",
CENTRO,,Coimbra,161804,"16,1",168198,"15,4",
,,Guarda,74983,"16,6",80742,"16,2",
,,Leiria,246072,"15,6",267360,"14,5",
,,Viseu,119737,"16,2",127656,"15,3",
,,,938486,,990074,,
REGIÃO DE,,Lisboa,642355,"16,0",669435,"16,1",
LISBOA,,Santarém,179796,"17,9",184908,"16,8",
E VALE TEJO,,Setúbal,234425,"18,9",245511,"17,6",
,,,1056576,,1099854,,
REGIÃO DO,,Beja,44135,"16,6",39947,"15,5",
ALENTEJO,,Évora,71961,"16,3",76240,"14,9",
,,Portalegre,33861,"14,1",43157,"16,2",
,,,149957,,159344,,
R. ALGARVE,,Faro,149615,"17,3",165269,"15,8",
