,,,,Condutores intervenientes em,,
,Condutores intervenientes em,,,,,
,,,,acidentes com mortos e/ou feridos,,
,acidentes com vítimas,,,,,
,,,,graves,,
,,,,,,
,1999,2000,00/99,1999,2000,00/99
,,,,,,
< 1 ano,3798,3439,-359,533,429,-104
,,,,,,
1 ano,6844,6164,-680,970,875,-95
,,,,,,
2 anos,5781,5273,-508,801,730,-71
,,,,,,
3 anos,5405,4640,-765,795,689,-106
,,,,,,
4 anos,4530,4339,-191,617,626,9
,,,,,,
5 anos,4205,3563,-642,612,488,-124
,,,,,,
6 anos,4225,3363,-862,601,433,-168
,,,,,,
7 anos,3838,3399,-439,542,465,-77
,,,,,,
8 anos,2880,3152,272,413,449,36
,,,,,,
9 anos,2567,2379,-188,375,328,-47
,,,,,,
10-14 anos,8396,8126,-270,1217,1139,-78
,,,,,,
15-19 anos,5788,5381,-407,853,736,-117
,,,,,,
>= 20 anos,14469,13663,-806,2115,2046,-69
,,,,,,
Não definidos,3911,3166,-745,721,554,-167
,,,,,,
Sem carta,3791,3689,-102,918,871,-47
,,,,,,
Total,80428,73736,-6692,12083,10858,-1225
