Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,"225,000","225,200",5,10,1,1,5,125
EN1,"234,700","234,900",7,10,0,3,5,45
EN1,"237,800","237,900",6,13,1,1,5,125
EN1,"284,500","284,600",5,8,0,1,4,22
EN109,"47,300","47,500",8,15,0,1,11,43
EN16,"3,350","3,500",7,16,0,1,8,34
EN16,"5,000","5,200",5,7,1,1,4,122
EN224,"32,250","32,450",6,8,1,0,10,130
EN235,"19,100","19,250",6,12,1,0,5,115
IC1,"20,960","21,000",5,8,1,4,2,146
IC2,"215,950","216,100",6,13,0,1,5,25
IC2,"216,800","217,000",6,12,0,0,7,21
IC2,"217,300","217,400",5,12,0,0,9,27
IP5,"42,900","43,100",6,12,1,2,11,153
,,Total,83,156,7,16,91,83
,,,,,,,,
,,,,,,,,
