Vias,"Acidentes c/
vítimas","Vítimas mortais
(M)","Feridos graves
(FG)","Feridos leves
(FL)","Indicador gravidade
100xM+10xFG+3xFL"
A1,718,57,179,966,10388
EN1,580,43,116,680,7500
EN10,399,38,94,461,6123
EN125,509,30,68,614,5522
IC1,300,27,51,420,4470
EN109,465,18,57,621,4233
EN2,329,18,79,460,3970
EN118,226,22,86,271,3873
IC2,295,20,68,340,3700
A2,291,16,60,397,3391
IP5,167,19,38,257,3051
EN13,299,13,34,415,2885
EN4,122,19,37,145,2705
EN103,218,14,30,318,2654
EN114,220,12,58,247,2521
EN15,251,11,42,317,2471
IP4,76,19,17,128,2454
EN3,237,9,69,245,2325
EN101,281,7,29,402,2196
EN206,235,8,17,354,2032
EN8,187,9,27,246,1908
IP1,104,12,15,178,1884
EN105,147,10,18,208,1804
EN17,164,8,23,254,1792
EN120,106,12,20,125,1775
IP3,110,10,28,159,1757
EN18,172,6,44,238,1754
IC8,70,12,16,92,1636
EN235,73,12,10,107,1621
A3,174,7,9,267,1591
IP2,114,8,18,188,1544
A5,231,5,20,281,1543
