,,,,,,,,,
,Feminino,,,Masculino,,,Total (1),,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
Vítimas mortais,154,132,-22,229,244,15,383,376,-7
,,,,,,,,,
<=5,6,11,5,5,8,3,11,19,8
6-9,5,2,-3,7,4,-3,12,6,-6
10-14,5,4,-1,4,9,5,9,13,4
15-19,18,10,-8,35,53,18,53,63,10
20-24,21,8,-13,57,49,-8,78,57,-21
25-29,8,6,-2,34,24,-10,42,30,-12
30-34,7,5,-2,15,19,4,22,24,2
35-39,11,10,-1,7,10,3,18,20,2
40-44,7,4,-3,8,16,8,15,20,5
45-49,8,8,0,11,12,1,19,20,1
50-54,11,11,0,10,9,-1,21,20,-1
55-59,7,7,0,6,5,-1,13,12,-1
60-64,12,11,-1,8,2,-6,20,13,-7
>=65,28,35,7,22,24,2,50,59,9
Não def.,0,0,0,0,0,0,0,0,0
Feridos Graves,999,847,-152,1044,928,-116,2045,1776,-269
,,,,,,,,,
<=5,44,24,-20,44,45,1,89,69,-20
6-9,26,23,-3,43,39,-4,69,62,-7
10-14,38,44,6,47,33,-14,85,77,-8
15-19,145,91,-54,213,189,-24,358,280,-78
20-24,129,108,-21,217,197,-20,346,305,-41
25-29,105,107,2,141,100,-41,246,207,-39
30-34,60,57,-3,74,84,10,134,141,7
35-39,63,52,-11,57,40,-17,120,92,-28
40-44,56,53,-3,42,43,1,98,96,-2
45-49,67,45,-22,32,37,5,99,82,-17
50-54,54,54,0,24,32,8,78,86,8
55-59,58,37,-21,21,17,-4,79,54,-25
60-64,44,40,-4,35,16,-19,79,56,-23
>=65,110,112,2,54,53,-1,165,165,0
Não def.,0,0,0,0,3,3,0,4,4
Feridos Leves,10088,9657,-431,8430,7552,-878,18532,17216,-1316
,,,,,,,,,
<=5,555,546,-9,613,581,-32,1173,1128,-45
6-9,367,336,-31,382,376,-6,749,712,-37
10-14,496,472,-24,469,407,-62,965,879,-86
15-19,1286,1207,-79,1596,1456,-140,2882,2664,-218
20-24,1436,1267,-169,1533,1320,-213,2971,2587,-384
25-29,973,985,12,969,845,-124,1943,1830,-113
30-34,680,645,-35,585,550,-35,1267,1196,-71
35-39,612,622,10,452,393,-59,1065,1015,-50
40-44,578,546,-32,400,327,-73,980,873,-107
45-49,600,572,-28,317,260,-57,918,833,-85
50-54,554,572,18,233,234,1,787,806,19
55-59,490,469,-21,203,176,-27,693,645,-48
60-64,482,435,-47,202,180,-22,684,616,-68
>=65,979,949,-30,476,416,-60,1455,1366,-89
Não def.,0,34,34,0,31,31,0,66,66
