,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,,,,,,,,,
,1999,2000,00/99,1999,2000,00/99,1999,2000,00/99
,,,,,,,,,
,,,,,,,,,
Atravessamento na passadeira,29,39,10,308,318,10,1463,1617,154
,,,,,,,,,
Atravessamento fora passadeira,120,106,-14,559,449,-110,2202,1884,-318
,,,,,,,,,
Em plena faixa rodagem,101,104,3,335,323,-12,1555,1409,-146
,,,,,,,,,
Outras,92,87,-5,317,259,-58,1560,1473,-87
,,,,,,,,,
Não definido,3,1,-2,18,16,-2,65,91,26
Total,345,337,-8,1537,1365,-172,6845,6474,-371
