,,Vítimas mortais,,,,,,,,,,,,,
,,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,Veículos,1999,3,21,98,82,59,47,41,54,35,19,24,40,529
,Ligeiros,2000,0,21,87,69,52,46,42,33,40,14,26,27,461
,,00/99,-3,0,-11,-13,-7,-1,1,-21,5,-5,2,-13,-68
,Veículos,1999,0,0,2,6,3,2,4,1,5,4,1,0,28
,Pesados,2000,0,0,3,5,2,6,2,2,4,2,1,2,29
,,00/99,0,0,1,-1,-1,4,-2,1,-1,-2,0,2,1
,,1999,2,3,1,1,4,2,1,1,3,1,2,13,35
,Velocípedes,2000,3,2,1,1,5,3,2,2,2,3,7,14,48
,,00/99,1,-1,0,0,1,1,1,1,-1,2,5,1,13
,,1999,1,33,20,15,18,15,14,14,9,14,14,34,204
,Ciclomotores,2000,1,24,20,15,14,16,10,14,7,7,15,35,181
,,00/99,0,-9,0,0,-4,1,-4,0,-2,-7,1,1,-23
,,1999,1,25,58,52,25,13,12,2,2,0,2,3,199
,Motociclos,2000,0,15,53,45,19,8,9,7,4,1,1,2,167
,,00/99,-1,-10,-5,-7,-6,-5,-3,5,2,1,-1,-1,-32
,,1999,7,85,180,157,110,80,76,74,55,40,47,97,1022
Total (2),,2000,4,62,164,136,95,79,65,62,59,31,56,90,916
,,00/99,-3,-23,-16,-21,-15,-1,-11,-12,4,-9,9,-7,-106
