,,,1996,1997,1998,1999,2000
,,Norte,8735,7417,9976,13054,20811
,,Centro,10671,8967,9996,12612,17237
,A,Lisboa e Vale do Tejo,9401,8876,14522,18456,16938
,,Alentejo,1356,1090,1568,2244,2452
,,Algarve,1159,966,1302,1991,2703
,,Total,31322,27316,37364,48357,60141
,,Norte,73559,64154,65446,55849,63532
,,Centro,53210,46857,43889,40191,39228
,B,Lisboa e Vale do Tejo,63598,62640,56752,48650,48226
,,Alentejo,10505,9256,8522,7513,6760
,,Algarve,6575,6053,5187,4744,6214
,,Total,207447,188960,179796,156947,163960
,,Norte,3161,3051,2799,2773,3388
,,Centro,3622,3662,3382,2963,3368
,C,Lisboa e Vale do Tejo,2850,3077,2698,2140,2269
,,Alentejo,707,723,639,530,658
,,Algarve,320,379,303,243,334
,,Total,10660,10892,9821,8649,10017
,,Norte,647,626,685,804,709
,,Centro,475,481,611,615,570
,D,Lisboa e Vale do Tejo,485,661,784,678,763
,,Alentejo,122,117,106,133,134
,,Algarve,68,69,77,97,112
,,Total,1797,1954,2263,2327,2288
,,Norte,1392,1472,3566,3309,4603
,,Centro,1999,2294,5260,4668,5414
,E,Lisboa e Vale do Tejo,1475,1800,3969,3500,3709
,,Alentejo,317,386,823,751,960
,,Algarve,108,176,398,304,412
,,Total,5291,6128,14016,12532,15098
TOTAL GERAL,,,256517,235250,243260,228812,251504
