,Acidentes c/,Acidentes,Acidentes,,,
,vítimas,com mortos,com mortos,Mortos,Feridos,Feridos leves
,,e/ou f. graves,,,graves,
,,,,,,
REGIÃO NORTE,11828,1147,348,377,993,15531
,,,,,,
Dentro Localidade,9036,810,202,211,719,11518
,,,,,,
Fora Localidade,2792,337,146,166,274,4013
,,,,,,
Braga,3084,313,85,89,276,4128
,,,,,,
Dentro Localidade,2253,244,54,56,229,2950
,,,,,,
Fora Localidade,831,69,31,33,47,1178
,,,,,,
Bragança,395,106,31,40,95,456
,,,,,,
Dentro Localidade,229,55,6,6,55,243
,,,,,,
Fora Localidade,166,51,25,34,40,213
,,,,,,
Porto,6821,521,162,172,433,8924
,,,,,,
Dentro Localidade,5685,411,116,122,345,7236
,,,,,,
Fora Localidade,1136,110,46,50,88,1688
,,,,,,
V. Castelo,959,107,37,40,100,1243
,,,,,,
Dentro Localidade,510,40,11,11,35,654
,,,,,,
Fora Localidade,449,67,26,29,65,589
,,,,,,
V. Real,569,100,33,36,89,780
,,,,,,
Dentro Localidade,359,60,15,16,55,435
,,,,,,
Fora Localidade,210,40,18,20,34,345
,,,,,,
