,,Acidentes c/,,,,,,,,,,,
,,,,,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,vítimas,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,00/99,,,00/99,,,00/99,,,00/99
,,1999,2000,,1999,2000,,1999,2000,,1999,2000,
,,,,%,,,%,,,%,,,%
,,,,,,,,,,,,,
,Braga,3239,3084,"-4,8",108,89,"-17,6",283,276,"-2,5",4306,4128,"-4,1"
,,,,,,,,,,,,,
REGIÃO,Bragança,432,395,"-8,6",25,40,"60,0",98,95,"-3,1",504,456,"-9,5"
,,,,,,,,,,,,,
NORTE,Porto,7359,6821,"-7,3",204,172,"-15,7",460,433,"-5,9",9556,8924,"-6,6"
,,,,,,,,,,,,,
,V. Castelo,1134,959,"-15,4",65,40,"-38,5",102,100,"-2,0",1472,1243,"-15,6"
,,,,,,,,,,,,,
,Vila Real,695,569,"-18,1",42,36,"-14,3",106,89,"-16,0",938,780,"-16,8"
,,,,,,,,,,,,,
,,12859,11828,"-8,0",444,377,"-15,1",1049,993,"-5,3",16776,15531,"-7,4"
,,,,,,,,,,,,,
,Aveiro,4086,3763,"-7,9",122,128,"4,9",553,495,"-10,5",4824,4417,"-8,4"
,,,,,,,,,,,,,
REGIÃO,C. Branco,783,684,"-12,6",62,52,"-16,1",179,142,"-20,7",906,879,"-3,0"
,,,,,,,,,,,,,
CENTRO,Coimbra,2654,2501,"-5,8",88,82,"-6,8",206,225,"9,2",3310,3152,"-4,8"
,,,,,,,,,,,,,
,Guarda,670,642,"-4,2",42,35,"-16,7",112,120,"7,1",855,787,"-8,0"
,,,,,,,,,,,,,
,Leiria,3263,3133,"-4,0",128,127,"-0,8",575,542,"-5,7",3928,3728,"-5,1"
,,,,,,,,,,,,,
,Viseu,1570,1225,"-22,0",81,71,"-12,3",206,183,"-11,2",2159,1634,"-24,3"
,,,,,,,,,,,,,
,,13026,11948,"-8,3",523,495,"-5,4",1831,1707,"-6,8",15982,14597,"-8,7"
,,,,,,,,,,,,,
REGIÃO DE,Lisboa,10012,9253,"-7,6",244,206,"-15,6",1959,1701,"-13,2",11208,10276,"-8,3"
,,,,,,,,,,,,,
LISBOA,Santarém,2886,2698,"-6,5",117,125,"6,8",1084,996,"-8,1",2933,2766,"-5,7"
,,,,,,,,,,,,,
E VALE TEJO,Setúbal,3883,3422,"-11,9",154,169,"9,7",855,690,"-19,3",4563,4008,"-12,2"
,,,,,,,,,,,,,
,,16781,15373,"-8,4",515,500,"-2,9",3898,3387,"-13,1",18704,17050,"-8,8"
,,,,,,,,,,,,,
REGIÃO DO,Beja,835,754,"-9,7",64,62,"-3,1",166,157,"-5,4",1004,889,"-11,5"
,,,,,,,,,,,,,
ALENTEJO,Évora,941,819,"-13,0",52,52,"0,0",244,227,"-7,0",1080,1001,"-7,3"
,,,,,,,,,,,,,
,Portalegre,604,464,"-23,2",38,24,"-36,8",164,95,"-42,1",663,525,"-20,8"
,,,,,,,,,,,,,
,,2380,2037,"-14,4",154,138,"-10,4",574,479,"-16,6",2747,2415,"-12,1"
,,,,,,,,,,,,,
R. ALGARVE,Faro,2920,2973,"1,8",114,119,"4,4",345,352,"2,0",3421,3413,"-0,2"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Média,,2665,2453,"-7,9",97,91,"-6,9",428,384,"-10,1",3202,2945,"-8,0"
